bareme,anciennete,echelle
21336.28,0,100/1
21962.22,1,100/1
22588.16,2,100/1
24628.7,3,100/1
24628.7,4,100/1
25592.64,5,100/1
25592.64,6,100/1
26556.58,7,100/1
26556.58,8,100/1
29172.98,9,100/1
29172.98,10,100/1
30136.92,11,100/1
30136.92,12,100/1
31100.86,13,100/1
31100.86,14,100/1
32064.8,15,100/1
32064.8,16,100/1
33028.74,17,100/1
33028.74,18,100/1
33992.68,19,100/1
33992.68,20,100/1
34956.62,21,100/1
34956.62,22,100/1
35920.56,23,100/1
35920.56,24,100/1
36566.53,25,100/1
36566.53,26,100/1
37212.5,27,100/1
37212.5,28,100/1
37858.47,29,100/1
37858.47,30,100/1
38504.44,31,100/1
38504.44,32,100/1
39150.41,33,100/1
39150.41,34,100/1
39150.41,35,100/1
39150.41,36,100/1
39150.41,37,100/1
39150.41,38,100/1
39150.41,39,100/1
39150.41,40,100/1
39150.41,41,100/1
39150.41,42,100/1
39150.41,43,100/1
39150.41,44,100/1
39150.41,45,100/1
22976.23,0,100/2
23602.17,1,100/2
24228.11,2,100/2
26268.65,3,100/2
26268.65,4,100/2
27232.59,5,100/2
27232.59,6,100/2
28196.53,7,100/2
28196.53,8,100/2
30812.93,9,100/2
30812.93,10,100/2
31776.87,11,100/2
31776.87,12,100/2
32740.81,13,100/2
32740.81,14,100/2
33704.75,15,100/2
33704.75,16,100/2
34668.69,17,100/2
34668.69,18,100/2
35632.63,19,100/2
35632.63,20,100/2
36596.57,21,100/2
36596.57,22,100/2
37560.51,23,100/2
37560.51,24,100/2
38206.48,25,100/2
38206.48,26,100/2
38852.45,27,100/2
38852.45,28,100/2
39498.42,29,100/2
39498.42,30,100/2
40144.39,31,100/2
40144.39,32,100/2
40790.36,33,100/2
40790.36,34,100/2
40790.36,35,100/2
40790.36,36,100/2
40790.36,37,100/2
40790.36,38,100/2
40790.36,39,100/2
40790.36,40,100/2
40790.36,41,100/2
40790.36,42,100/2
40790.36,43,100/2
40790.36,44,100/2
40790.36,45,100/2
26268.63,0,100/3
26894.57,1,100/3
27520.51,2,100/3
29561.05,3,100/3
29561.05,4,100/3
30524.99,5,100/3
30524.99,6,100/3
31488.93,7,100/3
31488.93,8,100/3
34105.33,9,100/3
34105.33,10,100/3
35069.27,11,100/3
35069.27,12,100/3
36033.21,13,100/3
36033.21,14,100/3
36997.15,15,100/3
36997.15,16,100/3
37961.09,17,100/3
37961.09,18,100/3
38925.03,19,100/3
38925.03,20,100/3
39888.97,21,100/3
39888.97,22,100/3
40852.91,23,100/3
40852.91,24,100/3
41498.88,25,100/3
41498.88,26,100/3
42144.85,27,100/3
42144.85,28,100/3
42790.82,29,100/3
42790.82,30,100/3
43436.79,31,100/3
43436.79,32,100/3
44082.76,33,100/3
44082.76,34,100/3
44082.76,35,100/3
44082.76,36,100/3
44082.76,37,100/3
44082.76,38,100/3
44082.76,39,100/3
44082.76,40,100/3
44082.76,41,100/3
44082.76,42,100/3
44082.76,43,100/3
44082.76,44,100/3
44082.76,45,100/3
21336.28,0,101/1
21962.22,1,101/1
22588.16,2,101/1
24628.7,3,101/1
24628.7,4,101/1
25592.64,5,101/1
25592.64,6,101/1
26556.58,7,101/1
26556.58,8,101/1
29172.98,9,101/1
29172.98,10,101/1
30136.92,11,101/1
30136.92,12,101/1
31100.86,13,101/1
31100.86,14,101/1
32064.8,15,101/1
32064.8,16,101/1
33028.74,17,101/1
33028.74,18,101/1
33992.68,19,101/1
33992.68,20,101/1
34956.62,21,101/1
34956.62,22,101/1
35920.56,23,101/1
35920.56,24,101/1
36566.53,25,101/1
36566.53,26,101/1
37212.5,27,101/1
37212.5,28,101/1
37858.47,29,101/1
37858.47,30,101/1
38504.44,31,101/1
38504.44,32,101/1
39150.41,33,101/1
39150.41,34,101/1
39150.41,35,101/1
39150.41,36,101/1
39150.41,37,101/1
