valid_since;index;rank
01/01/1990;1;0
01/02/1990;1,02;1
01/10/1990;1,0404;2
01/03/1991;1,0612;3
01/12/1991;1,0824;4
01/10/1992;1,1041;5
01/07/1993;1,1262;6
01/11/1994;1,1487;7
01/05/1996;1,1717;8
01/10/1997;1,1951;9
01/06/1999;1,219;10
01/09/2000;1,2434;11
01/07/2001;1,2682;12
01/03/2002;1,2936;13
01/07/2003;1,3195;14
01/11/2004;1,3459;15
01/09/2005;1,3718;16
01/11/2006;1,4002;17
01/02/2008;1,4282;18
01/06/2008;1,4568;19
01/10/2008;1,4859;20
01/10/2010;1,5157;21
01/06/2011;1,546;22
01/03/2012;1,5769;23
01/01/2013;1,6084;24
01/07/2016;1,6406;25
01/07/2017;1,6734;26
01/10/2018;1,7069;27
01/04/2020;1,741;28
01/10/2021;1,7758;29
01/02/2022;1,8114;30
01/04/2022;1,8476;31
01/06/2022;1,8845;32
01/09/2022;1,9222;33
01/12/2022;1,9607;34
01/01/2023;2,0398;35
01/02/2023;2,0806;36
01/03/2023;2,0806;37
01/04/2023;2,1222;38
01/05/2023;2,1646;39
01/06/2023;2,1646;40
01/07/2023;2,2079;41
01/08/2023;2,2521;42
